image,mask,dataset
water_body_16.jpg,water_body_16.jpg,train
water_body_7903.jpg,water_body_7903.jpg,train
water_body_8640.jpg,water_body_8640.jpg,test
water_body_8619.jpg,water_body_8619.jpg,test
water_body_8516.jpg,water_body_8516.jpg,val
water_body_1718.jpg,water_body_1718.jpg,train
water_body_1318.jpg,water_body_1318.jpg,train
water_body_2426.jpg,water_body_2426.jpg,train
water_body_1369.jpg,water_body_1369.jpg,train
water_body_6378.jpg,water_body_6378.jpg,train
water_body_7575.jpg,water_body_7575.jpg,train
water_body_1587.jpg,water_body_1587.jpg,train
water_body_1210.jpg,water_body_1210.jpg,val
water_body_957.jpg,water_body_957.jpg,test
water_body_7791.jpg,water_body_7791.jpg,test
water_body_8662.jpg,water_body_8662.jpg,train
water_body_1740.jpg,water_body_1740.jpg,test
water_body_8873.jpg,water_body_8873.jpg,train
water_body_1760.jpg,water_body_1760.jpg,test
water_body_1063.jpg,water_body_1063.jpg,train
water_body_7632.jpg,water_body_7632.jpg,test
water_body_8545.jpg,water_body_8545.jpg,train
water_body_1190.jpg,water_body_1190.jpg,train
water_body_8710.jpg,water_body_8710.jpg,train
water_body_8697.jpg,water_body_8697.jpg,train
water_body_8380.jpg,water_body_8380.jpg,test
water_body_7167.jpg,water_body_7167.jpg,train
water_body_7034.jpg,water_body_7034.jpg,test
water_body_7416.jpg,water_body_7416.jpg,val
water_body_122.jpg,water_body_122.jpg,val
water_body_1723.jpg,water_body_1723.jpg,train
water_body_1274.jpg,water_body_1274.jpg,train
water_body_174.jpg,water_body_174.jpg,train
water_body_2556.jpg,water_body_2556.jpg,train
water_body_2289.jpg,water_body_2289.jpg,val
water_body_2209.jpg,water_body_2209.jpg,train
water_body_8893.jpg,water_body_8893.jpg,train
water_body_2407.jpg,water_body_2407.jpg,val
water_body_165.jpg,water_body_165.jpg,val
water_body_1525.jpg,water_body_1525.jpg,test
water_body_7683.jpg,water_body_7683.jpg,train
water_body_1575.jpg,water_body_1575.jpg,train
water_body_8788.jpg,water_body_8788.jpg,test
water_body_2542.jpg,water_body_2542.jpg,train
water_body_7407.jpg,water_body_7407.jpg,train
water_body_1769.jpg,water_body_1769.jpg,train
water_body_8558.jpg,water_body_8558.jpg,train
water_body_8246.jpg,water_body_8246.jpg,val
water_body_1233.jpg,water_body_1233.jpg,train
water_body_7183.jpg,water_body_7183.jpg,train
water_body_738.jpg,water_body_738.jpg,val
water_body_2220.jpg,water_body_2220.jpg,train
water_body_19.jpg,water_body_19.jpg,train
water_body_1591.jpg,water_body_1591.jpg,train
water_body_7578.jpg,water_body_7578.jpg,train
water_body_8472.jpg,water_body_8472.jpg,train
water_body_8389.jpg,water_body_8389.jpg,test
water_body_1795.jpg,water_body_1795.jpg,train
water_body_907.jpg,water_body_907.jpg,train
water_body_7906.jpg,water_body_7906.jpg,val
water_body_1126.jpg,water_body_1126.jpg,val
water_body_1031.jpg,water_body_1031.jpg,val
water_body_8347.jpg,water_body_8347.jpg,train
water_body_8911.jpg,water_body_8911.jpg,val
water_body_944.jpg,water_body_944.jpg,train
water_body_8654.jpg,water_body_8654.jpg,test
water_body_8451.jpg,water_body_8451.jpg,val
water_body_993.jpg,water_body_993.jpg,train
water_body_7737.jpg,water_body_7737.jpg,train
water_body_8064.jpg,water_body_8064.jpg,train
water_body_8866.jpg,water_body_8866.jpg,train
water_body_1719.jpg,water_body_1719.jpg,train
water_body_8531.jpg,water_body_8531.jpg,train
water_body_7875.jpg,water_body_7875.jpg,val
water_body_7851.jpg,water_body_7851.jpg,train
water_body_1176.jpg,water_body_1176.jpg,train
water_body_2549.jpg,water_body_2549.jpg,train
water_body_8423.jpg,water_body_8423.jpg,train
water_body_8694.jpg,water_body_8694.jpg,train
water_body_8635.jpg,water_body_8635.jpg,train
water_body_8325.jpg,water_body_8325.jpg,train
water_body_2506.jpg,water_body_2506.jpg,test
water_body_8165.jpg,water_body_8165.jpg,train
water_body_2462.jpg,water_body_2462.jpg,val
water_body_1724.jpg,water_body_1724.jpg,train
water_body_8464.jpg,water_body_8464.jpg,test
water_body_846.jpg,water_body_846.jpg,train
water_body_8749.jpg,water_body_8749.jpg,val
water_body_659.jpg,water_body_659.jpg,train
water_body_1617.jpg,water_body_1617.jpg,test
water_body_1080.jpg,water_body_1080.jpg,train
water_body_8469.jpg,water_body_8469.jpg,val
water_body_8769.jpg,water_body_8769.jpg,train
water_body_1640.jpg,water_body_1640.jpg,train
water_body_7833.jpg,water_body_7833.jpg,train
water_body_27.jpg,water_body_27.jpg,train
water_body_7138.jpg,water_body_7138.jpg,train
water_body_7173.jpg,water_body_7173.jpg,train
water_body_1275.jpg,water_body_1275.jpg,train
water_body_1621.jpg,water_body_1621.jpg,train
water_body_7625.jpg,water_body_7625.jpg,train
water_body_883.jpg,water_body_883.jpg,val
water_body_1422.jpg,water_body_1422.jpg,train
water_body_8790.jpg,water_body_8790.jpg,train
water_body_7624.jpg,water_body_7624.jpg,val
water_body_8498.jpg,water_body_8498.jpg,train
water_body_8799.jpg,water_body_8799.jpg,train
water_body_827.jpg,water_body_827.jpg,val
water_body_1078.jpg,water_body_1078.jpg,train
water_body_7221.jpg,water_body_7221.jpg,val
water_body_8038.jpg,water_body_8038.jpg,train
water_body_8046.jpg,water_body_8046.jpg,train
water_body_7379.jpg,water_body_7379.jpg,test
water_body_8877.jpg,water_body_8877.jpg,train
water_body_1550.jpg,water_body_1550.jpg,train
water_body_8821.jpg,water_body_8821.jpg,test
water_body_676.jpg,water_body_676.jpg,test
water_body_8162.jpg,water_body_8162.jpg,train
water_body_8642.jpg,water_body_8642.jpg,train
water_body_703.jpg,water_body_703.jpg,train
water_body_7352.jpg,water_body_7352.jpg,val
water_body_610.jpg,water_body_610.jpg,test
water_body_716.jpg,water_body_716.jpg,val
water_body_890.jpg,water_body_890.jpg,train
water_body_2270.jpg,water_body_2270.jpg,train
water_body_8217.jpg,water_body_8217.jpg,train
water_body_2267.jpg,water_body_2267.jpg,train
water_body_7354.jpg,water_body_7354.jpg,train
water_body_8305.jpg,water_body_8305.jpg,train
water_body_7480.jpg,water_body_7480.jpg,test
water_body_781.jpg,water_body_781.jpg,train
water_body_1298.jpg,water_body_1298.jpg,train
water_body_1825.jpg,water_body_1825.jpg,train
water_body_1734.jpg,water_body_1734.jpg,train
water_body_7891.jpg,water_body_7891.jpg,test
water_body_6409.jpg,water_body_6409.jpg,test
water_body_2400.jpg,water_body_2400.jpg,train
water_body_7509.jpg,water_body_7509.jpg,train
water_body_8859.jpg,water_body_8859.jpg,train
water_body_7172.jpg,water_body_7172.jpg,train
water_body_7513.jpg,water_body_7513.jpg,train
water_body_721.jpg,water_body_721.jpg,train
water_body_1453.jpg,water_body_1453.jpg,train
water_body_8776.jpg,water_body_8776.jpg,train
water_body_7591.jpg,water_body_7591.jpg,train
water_body_7079.jpg,water_body_7079.jpg,train
water_body_2421.jpg,water_body_2421.jpg,val
water_body_8623.jpg,water_body_8623.jpg,train
water_body_7238.jpg,water_body_7238.jpg,train
water_body_7066.jpg,water_body_7066.jpg,val
water_body_8338.jpg,water_body_8338.jpg,test
water_body_7799.jpg,water_body_7799.jpg,test
water_body_7704.jpg,water_body_7704.jpg,train
water_body_7970.jpg,water_body_7970.jpg,train
water_body_1104.jpg,water_body_1104.jpg,test
water_body_7406.jpg,water_body_7406.jpg,train
water_body_8630.jpg,water_body_8630.jpg,train
water_body_7181.jpg,water_body_7181.jpg,train
water_body_2242.jpg,water_body_2242.jpg,train
water_body_7658.jpg,water_body_7658.jpg,val
water_body_7874.jpg,water_body_7874.jpg,train
water_body_7252.jpg,water_body_7252.jpg,train
water_body_8677.jpg,water_body_8677.jpg,val
water_body_1220.jpg,water_body_1220.jpg,train
water_body_7948.jpg,water_body_7948.jpg,train
water_body_7205.jpg,water_body_7205.jpg,train
water_body_7418.jpg,water_body_7418.jpg,train
water_body_1155.jpg,water_body_1155.jpg,train
water_body_6369.jpg,water_body_6369.jpg,test
water_body_1291.jpg,water_body_1291.jpg,train
water_body_2636.jpg,water_body_2636.jpg,train
water_body_830.jpg,water_body_830.jpg,train
water_body_7271.jpg,water_body_7271.jpg,train
water_body_8740.jpg,water_body_8740.jpg,train
water_body_7146.jpg,water_body_7146.jpg,train
water_body_7363.jpg,water_body_7363.jpg,train
water_body_8754.jpg,water_body_8754.jpg,test
water_body_8413.jpg,water_body_8413.jpg,train
water_body_1161.jpg,water_body_1161.jpg,train
water_body_8103.jpg,water_body_8103.jpg,train
water_body_8849.jpg,water_body_8849.jpg,train
water_body_705.jpg,water_body_705.jpg,train
water_body_2173.jpg,water_body_2173.jpg,test
water_body_1758.jpg,water_body_1758.jpg,test
water_body_2249.jpg,water_body_2249.jpg,train
water_body_606.jpg,water_body_606.jpg,train
water_body_7267.jpg,water_body_7267.jpg,val
water_body_8229.jpg,water_body_8229.jpg,val
water_body_1020.jpg,water_body_1020.jpg,train
water_body_2229.jpg,water_body_2229.jpg,test
water_body_7601.jpg,water_body_7601.jpg,train
water_body_8843.jpg,water_body_8843.jpg,train
water_body_7358.jpg,water_body_7358.jpg,train
water_body_1056.jpg,water_body_1056.jpg,train
water_body_688.jpg,water_body_688.jpg,train
water_body_8808.jpg,water_body_8808.jpg,train
water_body_1626.jpg,water_body_1626.jpg,train
water_body_7915.jpg,water_body_7915.jpg,train
water_body_8639.jpg,water_body_8639.jpg,train
water_body_29.jpg,water_body_29.jpg,train
water_body_7636.jpg,water_body_7636.jpg,train
water_body_85.jpg,water_body_85.jpg,train
water_body_8340.jpg,water_body_8340.jpg,train
water_body_6402.jpg,water_body_6402.jpg,train
water_body_185.jpg,water_body_185.jpg,val
water_body_1395.jpg,water_body_1395.jpg,val
water_body_55.jpg,water_body_55.jpg,val
water_body_7263.jpg,water_body_7263.jpg,train
water_body_157.jpg,water_body_157.jpg,train
water_body_1798.jpg,water_body_1798.jpg,train
water_body_1059.jpg,water_body_1059.jpg,train
water_body_905.jpg,water_body_905.jpg,train
water_body_8607.jpg,water_body_8607.jpg,train
water_body_7383.jpg,water_body_7383.jpg,train
water_body_1725.jpg,water_body_1725.jpg,train
water_body_8024.jpg,water_body_8024.jpg,test
water_body_760.jpg,water_body_760.jpg,train
water_body_8459.jpg,water_body_8459.jpg,train
water_body_8379.jpg,water_body_8379.jpg,train
water_body_2287.jpg,water_body_2287.jpg,train
water_body_1389.jpg,water_body_1389.jpg,train
water_body_7682.jpg,water_body_7682.jpg,train
water_body_1677.jpg,water_body_1677.jpg,train
water_body_7177.jpg,water_body_7177.jpg,train
water_body_8535.jpg,water_body_8535.jpg,val
water_body_2283.jpg,water_body_2283.jpg,train
